DF_n;1;1;5,61
DF_n;1;2;5,38
DF_n;1;3;5,15
DF_n;1;4;4,95
DF_n;1;5;4,78
DF_n;1;6;4,48
DF_n;1;7;4,28
DF_n;1;8;4,01
DF_n;1;9;3,61
DF_n;1;10;3,45
DF_n;1;11;3,15
DF_n;1;12;2,81
DF_n;1;13;2,60
DF_n;1;14;2,38
DF_n;1;15;2,58
DF_n;1;16;2,75
DF_n;1;17;3,13
DF_n;1;18;3,24
DF_n;1;19;3,48
DF_n;1;20;3,50
DF_n;1;21;3,26
DF_n;1;22;3,10
DF_n;1;23;2,80
DF_n;1;24;2,58
DF_n;1;25;2,38
DF_n;1;26;2,28
DF_n;1;27;2,35
DF_n;1;28;2,57
DF_n;1;29;2,80
DF_n;1;30;3,09
DF_n;1;31;3,28
DF_n;1;32;3,72
DF_n;1;33;4,01
DF_n;1;34;4,32
DF_n;1;35;4,61
DF_n;1;36;4,80
DF_n;1;37;5,00
DF_n;1;38;5,14
DF_n;1;39;5,41
DF_n;2;1;5,75
DF_n;2;2;5,50
DF_n;2;3;5,17
DF_n;2;4;4,98
DF_n;2;5;4,80
DF_n;2;6;4,65
DF_n;2;7;4,32
DF_n;2;8;4,05
DF_n;2;8;4,05
DF_n;2;9;3,75
DF_n;2;10;3,55
DF_n;2;11;3,08
DF_n;2;18;3,32
DF_p;1;1;5,61
DF_p;1;2;5,38
DF_p;1;3;5,15
DF_p;1;4;4,95
DF_p;1;5;4,78
DF_p;1;6;4,48
DF_p;1;7;4,28
DF_p;1;8;4,01
DF_p;1;9;3,61
DF_p;1;10;3,45
DF_p;1;11;3,15
DF_p;1;12;2,81
DF_p;1;13;2,60
DF_p;1;14;2,38
DF_p;1;15;2,58
DF_p;1;16;2,75
DF_p;1;17;3,13
DF_p;1;18;3,24
DF_p;1;19;3,48
DF_p;1;20;3,50
DF_p;1;21;3,26
DF_p;1;22;3,10
DF_p;1;23;2,80
DF_p;1;24;2,58
DF_p;1;25;2,38
DF_p;1;26;2,28
DF_p;1;27;2,35
DF_p;1;28;2,57
DF_p;1;29;2,80
DF_p;1;30;3,09
DF_p;1;31;3,28
DF_p;1;32;3,72
DF_p;1;33;4,01
DF_p;1;34;4,32
DF_p;1;35;4,61
DF_p;1;36;4,80
DF_p;1;37;5,00
DF_p;1;38;5,14
DF_p;1;39;5,41
DF_p;2;1;5,75
DF_p;2;2;5,50
DF_p;2;3;5,17
DF_p;2;4;4,98
DF_p;2;5;4,80
DF_p;2;6;4,65
DF_p;2;7;4,32
DF_p;2;8;4,05
DF_p;2;9;3,75
DF_p;2;10;3,55
DF_p;2;11;3,08
DF_p;2;18;3,32
MGDP;1;1;5,85
MGDP;1;2;5,55
MGDP;1;3;5,26
MGDP;1;4;5,10
MGDP;1;5;4,86
MGDP;1;6;4,59
MGDP;1;7;4,37
MGDP;1;8;4,00
MGDP;1;9;3,78
MGDP;1;10;3,53
MGDP;1;11;2,30
MGDP;1;12;2,87
MGDP;1;13;2,66
MGDP;1;14;2,47
MGDP;1;15;2,65
MGDP;1;16;2,75
MGDP;1;17;3,20
MGDP;1;18;3,36
MGDP;1;19;3,54
MGDP;1;20;3,52
MGDP;1;21;3,40
MGDP;1;22;3,17
MGDP;1;23;2,85
MGDP;1;24;2,65
MGDP;1;25;2,49
MGDP;1;26;2,30
MGDP;1;27;2,48
MGDP;1;28;2,64
MGDP;1;29;2,86
MGDP;1;30;3,17
MGDP;1;31;3,38
MGDP;1;32;3,74
MGDP;1;33;4,05
MGDP;1;34;4,30
MGDP;1;35;4,65
MGDP;1;36;4,88
MGDP;1;37;5,14
MGDP;1;38;5,30
MGDP;1;39;5,58
MGDP;2;1;5,75
MGDP;2;2;5,57
MGDP;2;3;5,31
MGDP;2;4;5,13
MGDP;2;5;4,88
MGDP;2;6;4,64
MGDP;2;7;4,37
MGDP;2;8;4,05
MGDP;2;9;4,25
MGDP;2;10;3,52
MGDP;2;11;3,20
MGDP;2;12;2,87
MGDP;2;13;2,65
MGDP;2;14;2,49
MGDP;2;15;2,66
MGDP;2;16;2,77
MGDP;2;17;3,19
MGDP;2;18;3,38
MGDP;2;19;3,52
MGDP;2;20;3,52
MGDP;2;21;3,39
MGDP;2;22;3,16
MGDP;2;23;2,86
MGDP;2;24;2,67
MGDP;2;25;2,48
MGDP;2;26;2,86
MGDP;2;27;2,44
MGDP;2;28;2,67
MGDP;2;29;4,35
MGDP;2;30;3,17
MGDP;2;31;3,33
MGDP;2;32;3,61
MGDP;2;33;4,05
MGDP;2;34;4,30
MGDP;2;35;4,64
MGDP;2;36;4,86
MGDP;2;37;5,14
MGDP;2;38;5,25
MGDP;2;39;5,61
