 210;   0;1406;2
  93; 201;1638;2
   0; 408;1870;2
   0; 640;2103;2
   0; 873;2335;2
   0;1105;2568;2
   0;1337;2800;2
   0;1570;3032;2
   0;1802;3265;2
   0;2035;3068;1
   0;2267;2836;1
   0;2499;2603;1
   0;2732;2371;1
   0;2964;2139;1
  33;3187;1906;1
 151;3388;1674;1
 324;3490;1442;1
 557;3490;1209;1
 789;3490; 977;1
 999;3447; 744;1
1129;3255; 512;1
1259;3062; 280;1
1389;2870;  47;1
1520;2677; 185;1
1650;2485; 417;1
1680;2262; 650;1
1680;2029; 882;1
1680;1797; 834;3
1680;1565; 602;3
1646;1339; 369;3
1555;1125; 137;3
1465; 911;  96;3
1374; 697; 221;2
1284; 483;  12;2
1194; 269; 244;2
1103;  55; 476;2
 907;   0; 709;2
 675;   0; 941;2
 442;   0;1173;2
